Plot,Tree,Code,Trt,Elevation,%Arbuscular,%Hyphal,%Mycorrhizal,%P,%N,%C,C_N,C_P,N_P,Tips,Diameter
C12,4394,C12_9908,C,high,36.66666667,53.33333333,61.33333333,0.139782487,2.321928328,42.63316909,18.36110468,304.9964985,16.61101028,0.737632996,0.196129237
C12,9908,C12_14907,C,high,30,74.66666667,79.33333333,0.148579469,2.312047782,42.86136618,18.53827006,288.4743529,15.56101794,0.693329592,0.142967863
C12,14907,C12_14908,C,high,11.33333333,40.66666667,44,0.15774979,2.61834471,45.05404255,17.2070707,285.6044534,16.59808682,0.956663381,0.231340455
C12,14908,C12_4394,C,high,40.66666667,44,72.66666667,0.177019747,1.827901024,44.05195969,24.09975109,248.8533649,10.32597241,0.710851639,0.081037087
C12,14915,C12_14915,C,high,47.33333333,64.66666667,72,0.197791455,2.519539249,43.13917133,17.1218493,218.1043227,12.73836248,1.051502095,0.098689446
C26,588,C12_5426,C,low,17.33333333,66.66666667,71.33333333,0.101073787,2.35,44.20536198,18.81079233,437.3573336,23.25034086,1.318920414,0.114079794
C26,590,C6_6267,C,low,17.55555556,36.48148148,44.7037037,0.127829446,1.83,43.87479843,23.97529969,343.2291996,14.31595033,0.569166573,0.117560798
C26,5959,C6_5431,C,low,14.66666667,73.33333333,76.66666667,0.213818513,2.16,43.89483259,20.32168175,205.2901406,10.10202517,1.118664166,0.20670635
C26,11936,C6_notag,C,low,22.09302326,36,50.86821705,0.199170469,2.233003413,44.57599384,19.96234918,223.8082486,11.21151858,1.217435798,0.169264745
C26,no tag,C6_notag2,C,low,2.666666667,27.33333333,30,0.316971955,2.06503413,,19.50508571,127.0732854,6.514879621,1.678498812,0.126505404
C6,2250,C6_2250,C,low,34,86,89,0.075918679,2.27387372,43.91376484,19.31231469,578.4316247,29.95143949,1.3949818,0.282257076
C6,5426,C26_11936,C,high,34.66666667,77.33333333,82,0.071145808,2.323959044,43.75371467,18.82723139,614.9865452,32.66473611,1.864180449,0.211874733
C6,5431,C26_590,C,high,47,65,71,0.069249871,2.073532423,42.68337917,20.58486219,616.3676344,29.94276225,,0.330056551
C6,6267,C26_5959,C,high,19.33333333,42.66666667,52,0.082870395,2.183720137,42.9734701,19.67901902,518.5623901,26.35102846,1.56813927,0.15334653
C6,no tag,C26_588,C,high,54,69,76,0.069061755,2.343993174,42.64336663,18.19261553,617.4671731,33.94053878,1.933344402,0.388321508
C6,no tag2,C26_notag,C,high,3.333333333,56.66666667,58,0.079452443,2.464197952,44.0438056,17.87348519,554.3417412,31.01475372,1.103120491,0.167479693
N11,4865,N4_notag2,N,low,40,54,70,0.085308773,2.664539249,42.31326316,15.88014257,496.0013099,31.234059,1.666748863,0.409780939
N11,5093,N4_notag1,N,low,18,61.33333333,62.66666667,0.08067611,3.025153584,42.6633729,14.10287832,528.8228808,37.49751425,1.788633442,0.305878305
N11,5097,N4_2390,N,low,47.33333333,86,94,0.078464426,2.323959044,43.89375857,18.88749231,559.4096689,29.61799585,1.597754372,0.297049391
N11,7777,N4_2502,N,low,15.33333333,40.66666667,47.33333333,0.072069783,2.323959044,43.71370213,18.81001399,606.5468815,32.2459559,,0.238049607
N11,no tag,N4_53885,N,low,40,54,70,0.071116727,2.58440273,42.93345756,16.612526,603.7040703,36.34029347,0.634288912,0.132548971
N23,1645,N23_9268,N,high,28,78.66666667,82,0.044495803,2.45,44.30553275,18.08389092,,,0.960204398,0.152121425
N23,3429,N23_3429,N,high,46,56,70.66666667,0.164512561,2.66,45.96836758,17.2813412,279.4216278,16.16897812,1.331959275,0.227213149
N23,9243,N23_1645,N,high,14,22,32,0.149282398,2.33,43.2737738,18.57243511,289.8786084,15.60800222,1.566446575,0.188489472
N23,9255,N23_9255,N,high,8,36,36,1.70914E-05,2.09,43.64440566,20.88249074,,,,0.500476136
N23,9257,N23_9243,N,high,20,31.33333333,40,0.143624788,2.63,43.85476428,16.67481531,305.3425867,18.31160231,0.399078698,0.161923331
N23,9268,N23_9257,N,high,41.33333333,49.33333333,63.33333333,0.154239868,2.88,43.12351764,14.97344362,279.5873609,18.67221515,0.401636669,0.091234782
N23,no tag1,N11_5093,N,low,7,31,35,0.143169415,2.242883959,43.93290034,19.58768315,306.8595366,15.66594345,0.996190305,0.387760484
N4,2390,N11_7865,N,low,46.66666667,41.33333333,64.66666667,0.146288632,2.292286689,45.89737962,20.02253027,313.7453607,15.669616,1.051836463,0.366718695
N4,53885,N11_notag,N,low,32.66666667,29.33333333,46.66666667,0.156959867,2.381211604,42.70262038,17.93314811,272.0607579,15.17083092,1.105849803,0.172780114
N4,no tag1,N11_5097,N,low,54,62,78.66666667,0.14897173,2.331808874,44.17101904,18.94281282,296.5060487,15.6526938,1.861591187,0.332499363
N4,no tag2,N11_7777,N,low,24,37.33333333,44.66666667,0.194914471,2.223122867,43.16893617,19.41815129,221.4763016,11.40563271,0.918310749,0.261490174
P1,4219,P24_10360,P,high,19,70,78,0.20266845,2.183720137,42.90344815,19.64695357,211.6927827,10.77484008,3.152765301,0.690676328
P1,4223,P24_3551,P,high,46.66666667,94,94.66666667,0.175918277,2.213771331,,20.08967223,252.810232,12.58408943,1.141489344,0.303788944
P1,8206,P24_4708,P,high,4.666666667,55.33333333,57.33333333,0.189814529,2.153668942,43.36359239,20.13475309,228.4524405,11.34617541,0.975926851,0.289336946
P1,no tag,P24_4733,P,high,40.66666667,71.33333333,75.33333333,0.208157472,2.594419795,43.19353908,16.64863148,207.504149,12.46373608,1.005804081,0.073799987
P1,no tag2,P24_notag,P,high,10,42.66666667,47.33333333,0.197882258,2.474215017,42.65336976,17.23915241,215.5492372,12.50347071,2.213699194,0.38081495
P24,3551,P1_8206,P,low,12.66666667,40,48,0.197593042,2.28,42.51247592,18.64582277,215.151685,11.53886785,1.166389536,0.121018792
P24,4708,P1_notag2,P,low,36,48.66666667,63.33333333,0.215501745,2.06,,23.85134175,227.9970587,9.559087329,1.717174929,0.182577388
P24,10360,P1_4219,P,low,49.33333333,25.33333333,66.66666667,0.177019747,1.89,,24.31658757,259.622733,10.67677495,2.349059928,0.241799399
P24,?,P1_4223,P,low,11,27,34,0.194983819,2.45,,19.51899056,245.2589508,12.56514521,0.799222243,0.297476227
P24,??,P1_notag,P,low,11.33333333,55.33333333,61.33333333,0.195311296,1.95,42.76290286,21.92969377,218.9474123,9.984061547,1.552443459,0.366742963
P24,no tag,P30_notag,P,high,5.6,52.4,54,0.187398989,2.084795222,42.27599104,20.27824632,225.5934851,11.12490112,1.328380606,0.254863349
P30,4869,P30_4869,P,high,2.666666667,47.33333333,48.66666667,0.190530603,1.926706485,42.71254199,22.16868128,224.1768058,10.1123203,1.528758955,0.484977932
P30,5906,P30_5914,P,high,17.33333333,54,58.66666667,0.196898598,1.768617747,43.47650616,24.5821949,220.8065806,8.982378569,2.091985428,0.503482132
P30,5914,P30_5932,P,high,4,40,40.66666667,0.208240823,2.055153584,43.28799552,21.06314382,207.8746852,9.869119582,2.046201874,0.160388806
P30,5932,P30_5906,P,high,1.388888889,58.94444444,58.94444444,0.210895578,1.600648464,43.27807391,27.03783803,205.210912,7.589767785,1.940182522,0.192630196